,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state
0,5.0%,"Chandler, AZ",SanTan Brewing Company,20,2707,Mr. Pineapple,12 oz.,Wheat Ale,20.0,5.0,AZ
1,8.2%,"Cincinnati, OH",Christian Moerlein Brewing Company,70,2706,Handle Bar (Current),12 oz.,American Stout,70.0,8.2,OH
2,5.0%,"Forest, VA",Apocalypse Ale Works,18,2705,Golden Censer,12 oz.,Wheat Ale,18.0,5.0,VA
3,6.2%,"Manassas, VA",Heritage Brewing Company,N/A,2704,Freedom Isn't Free,12 oz.,American IPA,67.634551495,6.2,VA
4,7.4%,"Manassas, VA",Heritage Brewing Company,115,2703,Kings Mountain,12 oz.,Scottish Ale,115.0,7.4,VA
5,8.0%,"Forest, VA",Apocalypse Ale Works,110,2702,Red Hoppocalypse,12 oz.,American Double / Imperial IPA,110.0,8.0,VA
6,5.0%,"Hays, KS",Defiance Brewing Company,16,2701,Willy Nilly,12 oz.,American Blonde Ale,16.0,5.0,KS
7,5.5%,"Madison, OH",Hop View Brewing Company,35,2700,Bernie Beer,12 oz.,American Brown Ale,35.0,5.5,OH
8,5.7%,"Lexington, KY",West Sixth Brewing,N/A,2699,Lemongrass American Wheat,"12 oz,",Wheat Ale,20.6666666667,5.7,KY
9,6.5%,"Warrenville, IL",Two Brothers Brewing Company,N/A,2698,Outlaw IPA,12 oz.,American IPA,67.634551495,6.5,IL
10,5.0%,"Saint Louis, MO",4 Hands Brewing Company,N/A,2697,Single Speed,12 oz.,American Blonde Ale,20.9032258065,5.0,MO
11,5.0%,"Providence, RI",Narragansett Brewing Company,N/A,2696,Del's Shandy,16 oz.,Shandy,0.0,5.0,RI
12,5.0%,"Providence, RI",Narragansett Brewing Company,12,2695,Lager,16 oz.,American Pale Lager,12.0,5.0,RI
13,5.8%,"Houston, TX",Buffalo Bayou Brewing Company,22,2694,Great White Buffalo,12 oz,Witbier,22.0,5.8,TX
14,6.5%,"Dripping Springs, TX",Twisted X Brewing Company,46,2693,Fuego (2016),12 oz,American Pilsner,46.0,6.5,TX
15,4.5%,"Minneapolis, MN",NorthGate Brewing ,50,2692,Get Together,16 oz.,American IPA,50.0,4.5,MN
16,4.9%,"Minneapolis, MN",NorthGate Brewing ,26,2691,Maggie's Leap,16 oz.,Milk / Sweet Stout,26.0,4.9,MN
