,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state,r8_beer_name,r8_beer_style,r8_beer_parent_style,r8_beer_overall_score,r8_beer_avg_rating
0,5.0%,"Chandler, AZ",SanTan Brewing Company,20.0,2707.0,Mr. Pineapple,12 oz.,Wheat Ale,20.0,5.0,AZ,SanTan Mr. Pineapple,Wheat Ale,Wheat Beer,52.058883973379636,3.215852975845337
1,8.2%,"Cincinnati, OH",Christian Moerlein Brewing Company,70.0,2706.0,Handle Bar (Current),12 oz.,American Stout,70.0,8.2,OH,N/A,N/A,N/A,,
2,5.0%,"Forest, VA",Apocalypse Ale Works,18.0,2705.0,Golden Censer,12 oz.,Wheat Ale,18.0,5.0,VA,Apocalypse Ale Works Golden Censer,Wheat Ale,Wheat Beer,48.29782485216966,3.1873159408569336
3,6.2%,"Manassas, VA",Heritage Brewing Company,,2704.0,Freedom Isn't Free,12 oz.,American IPA,67.634551495,6.2,VA,N/A,India Pale Ale (IPA),Anglo-American Ales,36.875340383509936,3.016386032104492
4,7.4%,"Manassas, VA",Heritage Brewing Company,115.0,2703.0,Kings Mountain,12 oz.,Scottish Ale,115.0,7.4,VA,Heritage Kings Mountain,Scotch Ale,Anglo-American Ales,49.68267636970165,3.2073140144348145
5,8.0%,"Forest, VA",Apocalypse Ale Works,110.0,2702.0,Red Hoppocalypse,12 oz.,American Double / Imperial IPA,110.0,8.0,VA,Apocalypse Ale Works Hoppocalypse Imperial Red Ale,Imperial IPA,Anglo-American Ales,87.55660577271989,3.502980947494507
6,5.0%,"Hays, KS",Defiance Brewing Company,16.0,2701.0,Willy Nilly,12 oz.,American Blonde Ale,16.0,5.0,KS,Brains Willy Nilly (Bottle),Bitter,Anglo-American Ales,38.54518690149945,2.937027931213379
7,5.5%,"Madison, OH",Hop View Brewing Company,35.0,2700.0,Bernie Beer,12 oz.,American Brown Ale,35.0,5.5,OH,Hop View Bernie Beer,Brown Ale,Anglo-American Ales,37.64050392880382,2.9711830615997314
8,5.7%,"Lexington, KY",West Sixth Brewing,,2699.0,Lemongrass American Wheat,"12 oz,",Wheat Ale,20.6666666667,5.7,KY,American Sky Lemongrass Wheat,Wheat Ale,Wheat Beer,,0
9,6.5%,"Warrenville, IL",Two Brothers Brewing Company,,2698.0,Outlaw IPA,12 oz.,American IPA,67.634551495,6.5,IL,Two Brothers Outlaw IPA,India Pale Ale (IPA),Anglo-American Ales,65.50768520515312,3.3012309074401855
10,5.0%,"Saint Louis, MO",4 Hands Brewing Company,,2697.0,Single Speed,12 oz.,American Blonde Ale,20.9032258065,5.0,MO,4 Hands Single Speed,Golden Ale/Blond Ale,Anglo-American Ales,48.83342717896145,3.1915769577026367
11,5.0%,"Providence, RI",Narragansett Brewing Company,,2696.0,Del's Shandy,16 oz.,Shandy,0.0,5.0,RI,N/A,Radler/Shandy,Lagers,32.5,2.961148977279663
12,5.0%,"Providence, RI",Narragansett Brewing Company,12.0,2695.0,Lager,16 oz.,American Pale Lager,12.0,5.0,RI,Lager Heads High Five IPA,India Pale Ale (IPA),Anglo-American Ales,77.13292386888573,3.3926830291748047
13,5.8%,"Houston, TX",Buffalo Bayou Brewing Company,22.0,2694.0,Great White Buffalo,12 oz,Witbier,22.0,5.8,TX,Buffalo Bayou Great White Buffalo,Witbier,Wheat Beer,57.60707707090217,3.242945909500122
14,6.5%,"Dripping Springs, TX",Twisted X Brewing Company,46.0,2693.0,Fuego (2016),12 oz,American Pilsner,46.0,6.5,TX,N/A,N/A,N/A,,
15,4.5%,"Minneapolis, MN",NorthGate Brewing ,50.0,2692.0,Get Together,16 oz.,American IPA,50.0,4.5,MN,Northgate Get Together IPA,Session IPA,Anglo-American Ales,,3.1123440265655518
16,4.9%,"Minneapolis, MN",NorthGate Brewing ,26.0,2691.0,Maggie's Leap,16 oz.,Milk / Sweet Stout,26.0,4.9,MN,N/A,Sweet Stout,Stouts and Porters,83.87100206982265,3.455199956893921
17,4.8%,"Minneapolis, MN",NorthGate Brewing ,19.0,2690.0,Wall's End,16 oz.,English Brown Ale,19.0,4.8,MN,N/A,Brown Ale,Anglo-American Ales,54.40535985780613,3.2236690521240234
18,6.0%,"Minneapolis, MN",NorthGate Brewing ,38.0,2689.0,Pumpion,16 oz.,Pumpkin Ale,38.0,6.0,MN,N/A,N/A,N/A,,
